listing_id,high,low,medium
7142618,0.123,0.503,0.374
7210040,0.202,0.322,0.476
7103890,0.035,0.833,0.132
7143442,0.112,0.582,0.306
6860601,0.034,0.654,0.312
6840081,0.001,0.94,0.059
6922337,0.075,0.297,0.628
6913616,0.2240833333333333,0.314,0.46191666666666664
6937820,0.029,0.778,0.193
6893933,0.021,0.758,0.221
6832604,0.005,0.9492666666666667,0.045733333333333334
6915282,0.185,0.307,0.508
7127565,0.013,0.86,0.127
6827899,0.035,0.792,0.173
6934855,0.009,0.926,0.065
6861826,0.021,0.803,0.176
6871643,0.03733333333333333,0.48391666666666666,0.47875
6842542,0.004,0.929,0.067
6934145,0.009,0.9285,0.0625
6829365,0.311,0.323,0.366
7167858,0.0355,0.8175,0.147
6859483,0.02,0.737,0.243
6861377,0.058,0.74,0.202
6848960,0.191,0.534,0.275
6918850,0.02,0.763,0.217
6916867,0.256,0.438,0.306
6895840,0.012816666666666669,0.9201833333333332,0.067
6813539,0.396,0.177,0.427
7116900,0.096,0.6286666666666667,0.2753333333333334
6890328,0.329,0.42825,0.24275
6879406,0.093,0.706,0.201
6824924,0.093,0.618,0.289
6911302,0.108,0.7743333333333332,0.11766666666666667
6918742,0.063,0.121,0.816
6910586,0.0135,0.7925,0.194
6821750,0.018,0.839,0.143
6860647,0.026,0.322,0.652
6932873,0.08,0.46,0.46
6846053,0.023,0.857,0.12
6940365,0.079,0.549,0.372
6931867,0.01,0.873,0.117
6876383,0.051833333333333335,0.835,0.11316666666666667
6910980,0.215,0.258,0.527
6880877,0.15,0.247,0.603
6839552,0.043,0.325,0.632
6838051,0.379,0.219,0.402
6928201,0.415,0.217,0.368
6945608,0.157,0.215,0.628
6816147,0.041,0.795,0.164
6868129,0.069,0.527,0.404
6849448,0.036,0.774,0.19
7113677,0.582,0.08,0.338
6930856,0.032,0.873,0.095
6889594,0.075,0.548,0.377
6842682,0.015,0.831,0.154
6880366,0.156,0.3745,0.4695
6835063,0.003,0.985,0.012
6820479,0.42,0.336,0.244
6882057,0.027,0.586,0.387
6834440,0.065,0.658,0.277
6880846,0.001,0.986,0.013
6847248,0.0,0.975,0.025
6868368,0.002,0.967,0.031
6943505,0.011,0.932,0.057
7174304,0.061,0.745,0.194
6880747,0.022,0.904,0.074
6933565,0.035,0.695,0.27
6888511,0.012,0.959,0.029
6942704,0.054,0.672,0.274
6840304,0.1355,0.54075,0.32375
6856860,0.006,0.931,0.063
6884921,0.004,0.959,0.037
6937417,0.005,0.846,0.149
6831129,0.0,0.977,0.023
6936660,0.161,0.398,0.441
6940667,0.003,0.954,0.043
7201307,0.001,0.971,0.028
6825434,0.022,0.773,0.205
6848114,0.061,0.7990666666666667,0.13993333333333333
6947758,0.307,0.365,0.328
6897002,0.045,0.61,0.345
6926661,0.006,0.893,0.101
6867411,0.072,0.596,0.332
6910154,0.019,0.8040880952380952,0.17691190476190477
7157900,0.056,0.669,0.275
6922324,0.049,0.595,0.356
6863068,0.033,0.7635,0.2035
6912109,0.018,0.707,0.275
6918609,0.022,0.761,0.217
6889300,0.174,0.541,0.285
6837794,0.1035,0.663,0.2335
6943098,0.223,0.49,0.287
6927601,0.078,0.577,0.345
6897826,0.014,0.8455,0.1405
6882892,0.011,0.956,0.033
6873384,0.334,0.344,0.322
6934693,0.02375,0.7165,0.25975
7224450,0.053,0.724,0.223
6898157,0.015,0.895,0.09
6837355,0.001,0.953,0.046
6830595,0.147,0.328,0.525
6943561,0.128,0.401,0.471
6844380,0.29,0.257,0.453
6814286,0.021,0.864,0.115
6898520,0.146,0.343,0.511
6940979,0.533,0.219,0.248
6851090,0.375,0.292,0.333
7107169,0.038,0.683,0.279
6830287,0.333,0.5995,0.0675
6933575,0.1728,0.419,0.4082
6938972,0.024,0.792,0.184
6888315,0.002,0.973,0.025
6855106,0.01,0.886,0.104
6838237,0.182,0.277,0.541
6901024,0.066,0.74075,0.19325
6846627,0.008,0.853,0.139
7219857,0.001,0.958,0.041
6852685,0.014,0.709,0.277
6831610,0.174,0.277,0.549
6943538,0.121,0.412,0.467
6911637,0.012,0.969,0.019
6854543,0.011,0.808,0.181
6940451,0.036,0.557,0.407
6819530,0.5201666666666668,0.238,0.24183333333333334
7093396,0.031,0.77425,0.19475
6840326,0.018,0.834,0.148
6834204,0.016,0.903,0.081
6902518,0.1015,0.4576666666666666,0.44083333333333335
6930253,0.0636,0.6713999999999999,0.265
6828293,0.006,0.894,0.1
7203744,0.39,0.4225,0.1875
6816478,0.081,0.534,0.385
6868890,0.0045,0.8835,0.112
6879338,0.03775,0.588,0.37425
6898532,0.074,0.668,0.258
6899965,0.006,0.903,0.091
7133875,0.011,0.939,0.05
6822218,0.1,0.615,0.285
6814018,0.248,0.586,0.166
6896376,0.082,0.6075,0.3105
6918670,0.192,0.564,0.244
6867839,0.003,0.96,0.037
6823554,0.005,0.896,0.099
6934798,0.117,0.6305,0.2525
6820823,0.183,0.409,0.408
6880212,0.032,0.869,0.099
6934814,0.004,0.884,0.112
7254134,0.104,0.759,0.137
6938303,0.253,0.121,0.626
6813807,0.1065,0.432,0.4615
6878604,0.029,0.887,0.084
6876763,0.025,0.809,0.166
6844352,0.002,0.915,0.083
6915939,0.145,0.45,0.405
7109370,0.136,0.489,0.375
6855445,0.145,0.681,0.174
6818668,0.024,0.692,0.284
6836527,0.0,0.989,0.011
6831717,0.03,0.843,0.127
6937162,0.055,0.476,0.469
6922876,0.017,0.907,0.076
7109482,0.047,0.699,0.254
6940972,0.089,0.5120666666666666,0.3989333333333333
6883790,0.103,0.568,0.329
6921643,0.014,0.739,0.247
6935700,0.013,0.799,0.188
6827025,0.034,0.7445,0.2215
6943096,0.095,0.7305,0.1745
7161468,0.008,0.732,0.26
6879610,0.008,0.908,0.084
6935762,0.075,0.64,0.285
6925042,0.018,0.924,0.058
7121050,0.059,0.751,0.19
6821601,0.055,0.735,0.21
6926810,0.01,0.918,0.072
6946532,0.071,0.691,0.238
6875171,0.0465,0.539,0.4145
7096285,0.13,0.485,0.385
6812321,0.024,0.8375,0.1385
6822697,0.125,0.666,0.209
6941294,0.004,0.758,0.238
6873564,0.008,0.978,0.014
6926791,0.024,0.623,0.353
7142444,0.376,0.24816666666666665,0.3758333333333333
6878128,0.069,0.42666666666666664,0.5043333333333334
6927428,0.046,0.744,0.21
6812674,0.001,0.998,0.001
6881774,0.236,0.455,0.309
7167797,0.001,0.971,0.028
6865238,0.096,0.288,0.616
6841710,0.164,0.53,0.306
6856334,0.003,0.953,0.044
6906462,0.004,0.842,0.154
6837438,0.1205,0.5943333333333334,0.2851666666666667
6908277,0.148,0.263,0.589
6841291,0.032,0.793,0.175
6915178,0.168,0.354,0.478
6893031,0.22,0.313,0.467
6894985,0.363,0.198,0.439
6931134,0.108,0.524,0.368
6872264,0.581,0.161,0.258
6816953,0.172,0.576,0.252
7163518,0.32,0.287,0.393
6893253,0.041,0.706,0.253
6943822,0.086,0.65,0.264
6946313,0.03,0.782,0.188
6839443,0.022,0.878,0.1
6911338,0.054,0.637,0.309
7223877,0.587,0.213,0.2
6917884,0.032,0.63775,0.33025
6823126,0.005,0.965,0.03
6939488,0.22,0.339,0.441
7196924,0.081,0.685,0.234
6905685,0.047,0.769,0.184
6894092,0.01,0.945,0.045
6812181,0.044,0.67,0.286
6854610,0.02875,0.614,0.35725
6873754,0.16,0.42,0.42
6859181,0.982,0.008,0.01
6825402,0.016333333333333335,0.8786666666666666,0.105
6819526,0.005,0.887,0.108
6896065,0.002,0.981,0.017
6931793,0.08008333333333333,0.6689166666666666,0.251
6907360,0.024,0.807,0.169
6813182,0.019666666666666666,0.7563333333333334,0.224
6823959,0.058,0.714,0.228
6942189,0.207,0.358,0.435
6844384,0.028,0.854,0.118
6836888,0.3178095238095238,0.374,0.3081904761904762
6917844,0.083,0.649,0.268
